column,pathway,direction,v1_mean,v2_mean,diff,log2fc,rank_biserial,u_pvalue,q_value,abs_rank_biserial
r-EGF,EGF,r,1.890926959399936,1.7899494633531483,0.10097749604678774,0.07917478187278705,0.05372706070613864,8.08451998377168e-18,1.0496622667454378e-17,0.05372706070613864
s-TWEAK,TWEAK,s,0.02340666311349807,0.01568274047166823,0.00772392264182984,0.5777415617212421,-0.05304307699042299,2.0856241836213352e-17,2.699043061157022e-17,0.05304307699042299
s-MELANOCORTIN,MELANOCORTIN,s,0.09544483436780779,0.08966045278864691,0.005784381579160877,0.09019533265571009,0.05224801431927517,6.183049535306121e-17,7.975529693749915e-17,0.05224801431927517
r-LHB,LHB,r,0.006236692325386754,0.004042491584364609,0.002194200741022145,0.6255361923615946,0.049934854350987656,1.3332020467604347e-15,1.714116917263416e-15,0.049934854350987656
r-GAS,GAS,r,1.362948987982068,1.2368055095235235,0.12614347845854446,0.1401129152409649,0.049082689679324165,3.9942602123355484e-15,5.118857747847499e-15,0.049082689679324165
s-PRL,PRL,s,0.09136080503660823,0.09104176201062922,0.00031904302597901557,0.0050468835303250125,0.04870829219297956,6.4311311891763154e-15,8.215251454560713e-15,0.04870829219297956
r-SELPLG,SELPLG,r,0.11131256270865993,0.11366788041013928,-0.0023553177014793564,-0.030208219333475485,-0.04811903262207129,1.351254200804382e-14,1.720568049898827e-14,0.04811903262207129
r-PRL,PRL,r,0.09136080503660823,0.0910417620106292,0.00031904302597902945,0.005046883530325332,0.04769083449661227,2.3049745913197667e-14,2.925544673598166e-14,0.04769083449661227
s-CEACAM,CEACAM,s,0.024473849474835035,0.026503731778029824,-0.002029882303194789,-0.11495446401885297,-0.046763188422009994,7.214909191631955e-14,9.128127922959279e-14,0.046763188422009994
r-IL1,IL1,r,0.05594814989101571,0.047700820510594336,0.008247329380421373,0.2300763375839486,0.04633398712043468,1.214313727989061e-13,1.5314275040881151e-13,0.04633398712043468
r-HSPG,HSPG,r,0.30600537146925116,0.2798759359676887,0.026129435501562437,0.12876952928548754,0.046288084213291114,1.283491235373171e-13,1.6135318387548437e-13,0.046288084213291114
s-EPO,EPO,s,0.00829632973926917,0.006845564632440329,0.0014507651068288415,0.27730365659544254,0.04508239419835891,5.397038429555842e-13,6.763377272481372e-13,0.04508239419835891
r-QRFP,QRFP,r,0.013705573927483505,0.010955946939841857,0.002749626987641649,0.32304853242356063,0.044999525771290516,5.94899572952067e-13,7.431553024890174e-13,0.044999525771290516
s-LAMININ,LAMININ,s,42.62773429465545,41.12267969112833,1.505054603527114,0.05185809827894137,0.043888845654362685,2.1576741650589947e-12,2.6869149979979935e-12,0.043888845654362685
s-ACTIVIN,ACTIVIN,s,4.224990833451874,4.046122291826755,0.17886854162511856,0.062408286087837106,0.04375395190591291,2.517823980432427e-12,3.1255745963988747e-12,0.04375395190591291
s-TRH,TRH,s,0.006785002320321817,0.006769571868933615,1.5430451388202295e-05,0.00328471285300649,0.04319656293622964,4.741654425055654e-12,5.867797351006372e-12,0.04319656293622964
s-ANGPT,ANGPT,s,0.5513530099668066,0.48629008138954194,0.06506292857726464,0.18115915004396438,0.043033221545061506,5.699639372957121e-12,7.0313308152368225e-12,0.043033221545061506
s-CLEC,CLEC,s,0.5507920382103367,0.5333652184186359,0.0174268197917008,0.046383957590703684,0.04089453518290642,5.961875070057373e-11,7.331995427772421e-11,0.04089453518290642
s-AGRN,AGRN,s,0.7462299128994878,0.7682840127576317,-0.022054099858143883,-0.04201954056092803,-0.04079432700866259,6.636367044134112e-11,8.136227088164422e-11,0.04079432700866259
s-IL6,IL6,s,0.02946775889722122,0.029877726793461862,-0.0004099678962406414,-0.01993304235141602,-0.03946495449836329,2.685888231346237e-10,3.2827522827565115e-10,0.03946495449836329
s-CD137,CD137,s,0.004139944762402131,0.0036395172061752428,0.0005004275562268878,0.18586438572971184,0.03943648253622367,2.7661861391288854e-10,3.3704914187539653e-10,0.03943648253622367
